URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/organization-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/v2-0131,2.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0203,4.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v3-ActCode,9.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCode"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,3.0.0,active,"2.16.840.1.113883.5.25",Confidentiality,Confidentiality,"A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/v3-ConfidentialityClassification"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/marital-status"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/AlergiasCS,0.4.3,draft,,AlergiasCS,Tipo Alergia,"Antecedente de Alergia","ValueSet/AlergiasVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/DiscapacidadCS,0.4.3,draft,,DiscapacidadCS,Discapacidad,"Identificador para determinar la categoría de discapacidad de  acuerdo con el dominio o dominios donde se presente la deficiencia o deficiencias corporales del solicitante","ValueSet/DiscapacidadVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/EtniaCS,0.4.3,draft,,Etnia,Etnia,"Identificador para determinar la pertenencia étnica de la persona.","ValueSet/EtniaVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/IdentidadGeneroCS,0.4.3,draft,,IdentidadGenero,Identidad de genero,"Identidad de Género.","ValueSet/IdentidadGeneroVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/IdspersonaColombia,0.4.3,active,,IdspersonaColombia,Identificadores de Persona,"Elemento de dato que contiene el nombre y número de identificación de una determinada persona para efectos de identidad e individualización","ValueSet/IdentificadoresPersonaVS,ValueSet/IdentificadoresProfesionalVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/PaisesCS,0.4.3,active,,PaisesCS,Códigos del País CS,"Codigos definidos para la identificación de países segun norma ISO3166-N","ValueSet/PaisesVS"
https://www.minsalud.gov.co/ihc/fhir/CodeSystem/ZonaResidenciaCS,0.4.3,draft,,ZonaResidencia,Zona de residencia,"Identificador para representar la Zona.","ValueSet/ZonaResidenciaVS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
